peak_id,peak_name,peak_alternative_name,height_metres,lat,long
KNAG,Kang Nagchugo,Khang Nagchugo,6737,27.9061,86.4447
RAUN,Raungsiyar,NA,6224,27.9078,86.5594
BAMO,Bamongo,NA,6406,27.9096,86.4289
CHAW,Chaw Peak,Chaw East,6404,27.9097,87.9442
CHEK,Chekigo,NA,6121,27.9097,86.4143
PBUK,Pabuk Kang,Kangata,6244,27.91,87.8906
NANG,Nangamari I,NA,6547,27.9106,87.8686
OMIT,Omitso Go,Omi Tso Go,6332,27.9153,86.4581
LDAK,Langdak,NA,6220,27.9169,86.5636
CHOL,Cholatse,"Tsolatse, Jobo Lhaptshan",6423,27.9181,86.7667
CHOP,Cho Polu,NA,6700,27.9192,86.9819
IMJA,Imjatse,Island Peak,6165,27.9206,86.9378
POKA,Pokalde,NA,5780,27.9244,86.8358
BEDG,Beding Go,Bedding Go,6125,27.9258,86.3931
CHRI,Chhukung Ri,NA,5550,27.9258,86.8788
CHAG,Chago,NA,6893,27.9261,87.054
PHAR,Pharilapcha,NA,6017,27.9292,86.6836
DOLM,Dolma Khang,Tseringma,6332,27.9372,86.3503
GAUS,Gaurishankar South,Gauri,7010,27.9372,86.3503
CHUK,Chhukung Tse,Chhukung Chuli,5833,27.9389,86.8772
DRAN,Drangnag Ri,Thaknak Ri,6757,27.9394,86.5241
YANK,Yanme Kang,Yanme Khang,6206,27.9461,87.8497
LDNG,Langdung,Ripumutse,6326,27.9478,86.4842
SHA2,Shartse II,Junction Peak,7457,27.9492,86.9853
JUNC,Junction Peak,NA,7133,27.9494,86.9831
PTHE,Pethangtse East,NA,6572,27.9494,87.0361
GAUR,Gaurishankar,Jomo Tseringma,7135,27.9533,86.3358
PETH,Pethangtse,NA,6739,27.9575,87.0183
LSHR,Lhotse Shar,Lhotse II,8382,27.9583,86.9433
LOBE,Lobuje East,Lobuche East,6090,27.9595,86.7899
LHOM,Lhotse Middle,Lhotse Intermediate,8410,27.9611,86.9408
LHOT,Lhotse,NA,8516,27.9617,86.9333
NUPT,Nuptse,NA,7864,27.9664,86.89
LOBW,Lobuje West,Lobuche West,6135,27.9689,86.7847
DINS,Dingjung Ri,Dingjung Ri South,6196,27.9744,86.5228
NREK,Nirekha,NA,6159,27.9775,86.7653
KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo",6043,27.9837,86.7207
KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",6063,27.9837,86.7372
DING,Dingjung North,"Kangkuru, Rima Mancho",6249,27.9878,86.5169
EVER,Everest,"Sagarmatha, Chomolungma, Qomolungma",8850,27.9881,86.9253
PANG,Pangbuk Ri,NA,6625,28.0053,86.5222
CHUM,Chumbu,NA,6859,28.0142,86.7883
PUMO,Pumori,NA,7138,28.0147,86.8281
KGRI,Khangri Shar,NA,6792,28.0189,86.8153
KHUM,Khumbutse,NA,6639,28.0206,86.875
CTSE,Changtse,Everest North Peak,7583,28.0253,86.9142
LING,Lingtren,NA,6713,28.0275,86.8572
HCHI,Hungchhi,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",7029,28.0347,86.7611
BURK,Burke Kang,Burke Khang,6942,28.0369,86.7739
THRK,Tharke Kang,Tharke Khang,6710,28.0439,86.7517
DZAS,Dzasampatse,NA,6295,28.0468,86.6096
LUNR,Lunag Ri,"Lunag I, Rongshar Ri I, Ondrej Peak",6895,28.0531,86.5517
CBAM,Chhopa Bamare,Chomo Pamari,6109,28.0572,86.0919
JOBO,Jobo Rinjang,Jobo Ribjang,6778,28.0661,86.5653
NAG1,Nangpai Gosum I,"Nagpai Gosum I, Cho Aui",7321,28.0706,86.6378
PASA,Pasang Lhamu Chuli,Jasemba,7350,28.0733,86.6169
NUPL,Nup La Kang,Nupla Khang,6861,28.0742,86.7669
NAG2,Nangpai Gosum II,"Nagpai Gosum II, Chamar",7287,28.0747,86.6525
JASG,Jasemba Goth,Dzasampa Kang,6730,28.0872,86.605
CHOY,Cho Oyu,NA,8188,28.0942,86.6608
GYAC,Gyachung Kang,NA,7861,28.0981,86.7422
NUPK,Nupche Kang,"Friendship Peak, Nupche Himal",6576,28.1014,86.605
KORL,Korlang Pari Tippa,Korlang Pari Tippa North,5738,28.1024,86.1128
NGOJ,Ngojumba Kang I,"Ngozumba Kang, Ngozumba Ri, Tenzing Peak",7916,28.1058,86.6869
NGO2,Ngojumba Kang II,NA,7743,28.106,86.7061
YUBR,Yubra,NA,6264,28.1075,85.5681
PHUR,Phurbi Chhyachu,Phurbi Ghyachu,6637,28.1306,85.8719
URMA,Urkema,"Baden Powell Scout Peak, Urgyenma",5890,28.1664,85.5336
GANC,Ganchenpo,"Fluted Peak, Ganchempo",6378,28.1689,85.6756
